City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Castro,BR,-24.7911,-50.0119,63.99,78,55,4.07,broken clouds
154,Birjand,IR,32.8663,59.2211,68.65,11,0,6.44,clear sky
155,Sabang,ID,5.8933,95.3214,80.31,81,100,20.74,overcast clouds
156,Carbonia,IT,39.1672,8.5222,77.02,90,100,7.18,overcast clouds
157,The Valley,AI,18.217,-63.0578,85.86,75,14,8.46,few clouds
158,Airai,TL,-8.9266,125.4092,59.47,82,55,2.08,broken clouds
159,Kutum,SD,14.2,24.6667,80.94,31,100,8.72,overcast clouds
160,San Vicente,AR,-26.6167,-54.1333,62.78,49,0,2.51,clear sky
161,Dong Hoi,VN,17.4833,106.6,78.67,87,100,3.89,overcast clouds
162,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,5.75,scattered clouds
163,Saskylakh,RU,71.9167,114.0833,31.82,90,98,16.71,overcast clouds
164,Anuradhapura,LK,8.3565,80.4173,78.35,81,97,12.97,overcast clouds
165,Pavlodar,KZ,52.3,76.95,31.8,100,0,6.71,clear sky
166,Broome,US,42.2506,-75.833,68.85,64,1,1.99,clear sky
167,Samarai,PG,-10.6167,150.6667,79.7,86,66,12.97,broken clouds
168,Port Elizabeth,ZA,-33.918,25.5701,60.42,65,36,7.34,scattered clouds
169,Ballachulish,GB,56.6774,-5.1308,61.41,94,100,1.99,overcast clouds
170,Catuday,PH,16.2923,119.8062,78.8,84,9,6.38,clear sky
171,Goundam,ML,16.4145,-3.6708,94.73,28,87,4.72,overcast clouds
172,Illela,NG,13.7292,5.2975,87.75,37,99,8.84,overcast clouds
173,Lerwick,GB,60.1545,-1.1494,53.6,95,88,14.12,overcast clouds
174,Fukue,JP,32.6881,128.8419,75.15,80,34,13.31,scattered clouds
175,Chuy,UY,-33.6971,-53.4616,59.02,95,68,5.75,broken clouds
176,Vostok,RU,46.4856,135.8833,48.54,70,100,2.35,overcast clouds
177,Gombe,NG,10.2897,11.1673,75.0,79,79,7.54,broken clouds
178,Da Nang,VN,16.0678,108.2208,77.05,94,20,2.3,few clouds
179,Yulara,AU,-25.2406,130.9889,59.41,31,21,12.26,few clouds
180,Saint-Philippe,RE,-21.3585,55.7679,71.15,85,40,13.6,light rain
181,Nouadhibou,MR,20.931,-17.0347,71.56,84,60,23.24,broken clouds
182,Taltal,CL,-25.4,-70.4833,64.99,68,23,5.64,few clouds
183,Provideniya,RU,64.3833,-173.3,32.54,87,100,2.37,overcast clouds
184,Kamenka,RU,51.3223,42.7678,49.15,85,79,9.53,broken clouds
185,Zhigansk,RU,66.7697,123.3711,30.47,92,77,10.96,broken clouds
186,Moirang,IN,24.5,93.7667,67.26,96,4,1.86,clear sky
187,Rudnyy,KZ,52.9594,63.1206,54.7,32,100,10.16,overcast clouds
188,Georgetown,MY,5.4112,100.3354,79.9,87,20,3.44,thunderstorm
189,Jamestown,US,42.097,-79.2353,64.09,84,90,7.0,overcast clouds
190,Visnes,NO,59.3556,5.2242,55.22,87,75,13.8,broken clouds
191,Flin Flon,CA,54.7682,-101.865,63.12,50,63,4.05,broken clouds
192,Rorvik,NO,64.8621,11.2373,49.55,79,94,13.98,light rain
193,Maku,IR,39.2911,44.4521,55.8,46,1,7.92,clear sky
194,Santa Maria,BR,-29.6842,-53.8069,60.91,79,0,3.89,clear sky
195,Sambava,MG,-14.2667,50.1667,70.09,81,3,13.87,clear sky
196,Shizunai,JP,42.3339,142.3669,58.1,75,100,6.35,overcast clouds
197,Martinsburg,US,39.4562,-77.9639,74.08,60,1,5.75,clear sky
198,Qaqortoq,GL,60.7167,-46.0333,37.9,78,0,6.04,clear sky
199,Mitsamiouli,KM,-11.3847,43.2844,75.96,78,15,4.09,few clouds
200,Garissa,KE,-0.4536,39.6401,74.39,79,78,17.22,broken clouds
201,La Palma,US,33.8464,-118.0467,94.12,62,20,4.0,few clouds
202,Conde,BR,-7.2597,-34.9075,74.66,94,20,5.75,few clouds
203,Vanavara,RU,60.34,102.2797,32.56,98,68,3.6,light snow
204,Grand-Santi,GF,4.25,-54.3833,82.42,56,47,1.81,scattered clouds
205,Ambulu,ID,-8.345,113.6058,74.55,92,88,3.49,overcast clouds
206,Payo,ID,-3.7508,103.6372,73.17,99,100,2.1,overcast clouds
207,Dunedin,NZ,-45.8742,170.5036,46.8,61,29,14.38,scattered clouds
208,Ancud,CL,-41.8697,-73.8203,49.53,62,39,12.64,scattered clouds
209,Waipawa,NZ,-41.4122,175.5153,58.3,54,0,9.37,clear sky
210,Dauphin,CA,51.1494,-100.0502,73.54,33,1,10.36,clear sky
211,Tatarsk,RU,55.219,75.9828,28.81,95,10,7.27,clear sky
212,Phek,IN,25.6667,94.5,56.07,98,25,1.9,scattered clouds
213,Leningradskiy,RU,69.3833,178.4167,28.42,72,100,5.73,overcast clouds
214,Aykhal,RU,66.0,111.5,29.59,85,77,7.61,broken clouds
215,Praia,CV,14.9215,-23.5087,79.34,73,75,13.8,broken clouds
216,Ahvaz,IR,31.3203,48.6693,88.12,22,0,19.46,clear sky
217,Boyolangu,ID,-8.1181,111.8935,74.44,93,75,4.43,broken clouds
218,Vila,PT,42.0304,-8.1588,54.48,94,46,4.61,scattered clouds
219,Trairi,BR,-3.2778,-39.2689,78.84,80,13,12.64,few clouds
220,Luderitz,NA,-26.6481,15.1594,61.95,53,35,15.05,scattered clouds
221,Bestobe,KZ,52.4994,73.0975,39.38,89,0,9.35,clear sky
222,Gazojak,TM,41.1875,61.4036,73.22,28,0,8.52,clear sky
223,Bahia Blanca,AR,-38.7196,-62.2724,68.85,50,64,11.25,broken clouds
224,Ixtapa,MX,20.7,-105.2,86.23,77,40,3.0,scattered clouds
225,Ust-Karsk,RU,52.7011,118.8077,52.07,77,100,7.25,overcast clouds
226,East London,ZA,-33.0153,27.9116,66.54,61,38,15.88,scattered clouds
227,Vicuna,CL,-30.0319,-70.7081,51.53,35,0,5.61,clear sky
228,Ofaqim,IL,31.3141,34.6203,72.73,58,0,8.52,clear sky
229,Kavieng,PG,-2.5744,150.7967,83.05,78,57,14.03,light rain
