City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Havoysund,NO,2021-09-23 21:13:33,70.9963,24.6622,45.48,80,90,24.87
126,Turinsk,RU,2021-09-23 21:13:34,58.0458,63.696,36.41,87,14,5.57
127,Bela,IN,2021-09-23 21:13:34,25.9333,81.9833,77.27,93,58,9.69
128,Lasa,IT,2021-09-23 21:04:05,46.6166,10.7002,52.02,59,6,4.5
129,Bowen,AU,2021-09-23 21:03:56,-20.0167,148.2333,66.16,72,97,8.3
130,Kaitangata,NZ,2021-09-23 21:13:35,-46.2817,169.8464,48.22,61,26,12.28
131,Verkhnyaya Inta,RU,2021-09-23 21:13:35,65.9811,60.3094,37.15,90,100,5.82
132,Santa Rosa,PH,2021-09-23 21:13:36,14.3122,121.1114,80.1,84,99,2.77
133,Manuk Mangkaw,PH,2021-09-23 21:13:36,4.8,119.85,81.97,77,97,6.91
134,East London,ZA,2021-09-23 21:13:36,-33.0153,27.9116,67.5,52,74,22.41
135,Pevek,RU,2021-09-23 21:13:37,69.7008,170.3133,29.25,88,98,8.86
136,Porto Walter,BR,2021-09-23 21:11:16,-8.2686,-72.7439,89.42,46,87,2.71
137,Ostrovnoy,RU,2021-09-23 21:04:19,68.0531,39.5131,46.11,87,40,19.66
138,Yumen,CN,2021-09-23 21:04:27,40.2833,97.2,61.95,30,93,1.39
139,Port Hardy,CA,2021-09-23 21:13:38,50.6996,-127.4199,53.98,75,100,5.7
140,Loningen,DE,2021-09-23 21:13:39,52.7333,7.7667,57.47,91,36,12.28
141,Kavieng,PG,2021-09-23 21:13:39,-2.5744,150.7967,81.63,75,100,10.69
142,Rosarito,MX,2021-09-23 21:10:08,32.3333,-117.0333,96.4,53,11,13.06
143,Port Lincoln,AU,2021-09-23 21:13:40,-34.7333,135.8667,55.6,77,48,14.9
144,Benguela,AO,2021-09-23 21:13:40,-12.5763,13.4055,72.57,84,100,1.86
145,Zhezkazgan,KZ,2021-09-23 21:13:41,47.8043,67.7144,44.35,58,0,12.82
146,Faanui,PF,2021-09-23 21:13:41,-16.4833,-151.75,78.04,70,16,11.32
147,Cherskiy,RU,2021-09-23 21:13:42,68.75,161.3,29.89,91,82,6.49
148,Nizhniy Tsasuchey,RU,2021-09-23 21:13:42,50.5167,115.1333,39.54,85,17,3.24
149,Pangnirtung,CA,2021-09-23 21:11:18,66.1451,-65.7125,34.07,54,63,7.14
150,Caravelas,BR,2021-09-23 21:13:43,-17.7125,-39.2481,71.38,64,20,11.99
151,Ilulissat,GL,2021-09-23 21:13:43,69.2167,-51.1,24.82,74,75,18.41
152,Ulaangom,MN,2021-09-23 21:13:44,49.9811,92.0667,38.93,42,7,3.04
153,Maiduguri,NG,2021-09-23 21:13:44,11.8464,13.1603,74.55,81,81,6.96
154,Paamiut,GL,2021-09-23 21:13:44,61.994,-49.6678,33.6,69,13,17.81
155,Faya,SA,2021-09-23 21:04:41,18.3851,42.4509,68.97,39,54,2.57
156,Lesosibirsk,RU,2021-09-23 21:13:45,58.2358,92.4828,27.79,95,68,3.2
157,Altay,CN,2021-09-23 21:13:46,47.8667,88.1167,43.45,45,99,2.46
158,Walvis Bay,NA,2021-09-23 21:13:46,-22.9575,14.5053,57.09,72,0,14.05
159,Bambous Virieux,MU,2021-09-23 21:13:46,-20.3428,57.7575,71.22,85,54,14.47
160,Predeal,RO,2021-09-23 21:13:47,45.5,25.5667,38.43,89,31,2.17
161,Lala,PH,2021-09-23 21:13:47,7.9745,123.7458,74.26,92,48,1.19
162,Labuhan,ID,2021-09-23 21:13:48,-6.8844,112.2051,79.2,79,100,6.44
163,Maniitsoq,GL,2021-09-23 21:04:59,65.4167,-52.9,33.39,64,31,11.32
164,Khartoum,SD,2021-09-23 21:13:49,15.5518,32.5324,90.77,33,24,14.32
165,Avila,ES,2021-09-23 21:13:49,40.5833,-5.0,56.64,92,91,6.49
166,Acapulco,MX,2021-09-23 21:08:53,16.8634,-99.8901,85.82,79,40,6.91
167,Butaritari,KI,2021-09-23 21:13:50,3.0707,172.7902,82.51,75,6,16.08
168,Westport,US,2021-09-23 21:13:50,41.1415,-73.3579,79.29,85,90,1.01
169,Esperance,AU,2021-09-23 21:13:51,-33.8667,121.9,53.74,64,100,12.26
170,Naze,JP,2021-09-23 21:04:14,28.3667,129.4833,75.34,71,0,10.04
171,Kodiak,US,2021-09-23 21:13:51,57.79,-152.4072,44.11,76,90,21.85
172,Acarau,BR,2021-09-23 21:13:52,-2.8856,-40.12,79.99,77,72,18.88
173,Mehamn,NO,2021-09-23 21:03:11,71.0357,27.8492,40.91,70,99,20.85
174,Lesnica,RS,2021-09-23 21:13:52,44.6525,19.31,47.66,67,37,5.61
175,Castro,BR,2021-09-23 21:13:53,-24.7911,-50.0119,60.73,59,100,4.97
176,Aconibe,GQ,2021-09-23 21:13:53,1.2968,10.9369,68.07,97,100,1.32
177,Yelizovo,RU,2021-09-23 21:13:54,53.1873,158.3805,41.14,100,20,2.24
178,Harper,LR,2021-09-23 21:04:06,4.375,-7.7169,78.28,86,31,6.96
179,Hami,CN,2021-09-23 21:13:55,42.8,93.45,65.03,20,29,4.94
180,Kiruna,SE,2021-09-23 21:13:55,67.8557,20.2251,36.52,93,90,9.22
181,Balabac,PH,2021-09-23 21:13:56,7.9868,117.0645,80.44,76,99,2.75
182,Provideniya,RU,2021-09-23 21:13:56,64.3833,-173.3,32.11,69,90,6.71
183,Scarborough,GB,2021-09-23 21:13:57,54.2797,-0.4044,58.84,84,80,1.99
184,Krasnogvardeyskiy,RU,2021-09-23 21:13:57,57.3793,62.3195,36.72,81,11,4.79
185,Havelock,US,2021-09-23 21:00:17,34.8791,-76.9013,75.97,93,96,1.99
186,Baykit,RU,2021-09-23 21:13:58,61.67,96.37,32.94,98,100,4.9
187,Airai,TL,2021-09-23 21:04:00,-8.9266,125.4092,57.51,51,100,2.21
188,Torbay,CA,2021-09-23 21:13:58,47.6666,-52.7314,54.99,89,5,11.36
189,Ambunti,PG,2021-09-23 21:13:59,-4.2365,142.8448,72.9,98,100,1.68
